episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
209,-8.0,-11.57,7.0,-21.0,0.9070658828131855,-0.02799930388573557,0.032819527987157926
210,9.0,-11.27,9.0,-21.0,0.999346412718296,-0.02712737312685931,0.03146748773724539
211,-8.0,-11.22,9.0,-21.0,0.9307026164606214,-0.028719966852804646,0.03018673390033655
212,-11.0,-11.16,9.0,-21.0,1.0489443461410701,-0.03168797907710541,0.031416328660270665
213,-4.0,-11.01,9.0,-21.0,1.037012298591435,-0.03184242724091746,0.0319162390587735
214,-12.0,-11.05,9.0,-21.0,1.107517406810075,-0.03336361465335358,0.046953510369348805
215,-5.0,-10.92,9.0,-21.0,1.058693748433143,-0.029309720630408265,0.03656157583463937
216,9.0,-10.69,9.0,-21.0,0.9978966764174402,-0.027581423266383354,0.032342117752705235
217,10.0,-10.41,10.0,-21.0,0.9750737166032195,-0.024484194174874574,0.03539743748115143
218,-13.0,-10.39,10.0,-21.0,0.9393348703160882,-0.02766368494485505,0.027988905283564236
219,-21.0,-10.47,10.0,-21.0,0.72441211855039,-0.0212627768778475,0.03294805959012592
220,-19.0,-10.53,10.0,-21.0,1.041110785678029,-0.03135202475823462,0.039178977684059646
221,7.0,-10.29,10.0,-21.0,1.1320971986278892,-0.03616392982803518,0.03446531220106408
222,-14.0,-10.3,10.0,-21.0,1.0594317051582038,-0.03270378267916385,0.025860207810183056
223,-11.0,-10.3,10.0,-21.0,1.0401625344529748,-0.028655651687586214,0.029453472518071067
224,-16.0,-10.34,10.0,-21.0,0.8687514350749552,-0.02478369840537198,0.025677171666757204
225,-11.0,-10.32,10.0,-21.0,1.0439437320455909,-0.0315573883781326,0.03445188079786021
226,-10.0,-10.29,10.0,-21.0,0.9278578194789588,-0.029479250297299586,0.02459909993922338
227,-5.0,-10.13,10.0,-21.0,0.9780861330218613,-0.028289681860769633,0.02868132048024563
228,-2.0,-10.07,10.0,-21.0,1.159814395941794,-0.03296944605244789,0.03912519990262808
229,4.0,-9.9,10.0,-21.0,0.883882088586688,-0.027739481811295263,0.031360653330921195
230,-8.0,-9.86,10.0,-21.0,0.8092526723630726,-0.026783118497405667,0.026102566025656415
231,8.0,-9.61,10.0,-21.0,1.18331653252244,-0.03455868488526903,0.04169210835243575
232,-6.0,-9.54,10.0,-21.0,1.073828483466059,-0.030971035885158926,0.03359381935297279
233,7.0,-9.35,10.0,-21.0,0.8878948017954826,-0.02562998145003803,0.030812073207926005
234,-9.0,-9.28,10.0,-21.0,0.9237955431453884,-0.02867790799064096,0.025171298861096147
235,-4.0,-9.17,10.0,-21.0,0.8803556375205517,-0.02439263413543813,0.03083729345962638
236,-5.0,-9.05,10.0,-21.0,0.8051544362679124,-0.025239709117158782,0.02194655426137615
237,-9.0,-8.99,10.0,-21.0,0.847787281498313,-0.026541145154624246,0.022299790820397902
238,-7.0,-8.92,10.0,-21.0,0.9019744554534554,-0.026792092408868484,0.03238370808685431
239,-5.0,-8.81,10.0,-21.0,0.6802164993714541,-0.022591093947994523,0.02777186293678824
240,-11.0,-8.79,10.0,-21.0,1.0955778653733432,-0.03423070099961478,0.02543842333398061
